epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,36.7749,0.71405,0.87389,1,0.29404,0.000472155,0.000472155,0.000472155
2,72.6249,0.39538,0.85841,1,0.34833,0.000917188,0.000917188,0.000917188
3,106.739,0.32275,0.86504,1,0.29621,0.00133078,0.00133078,0.00133078
4,140.682,0.28591,0.91814,1,0.25699,0.00128753,0.00128753,0.00128753
5,174.688,0.27703,0.92035,1,0.30229,0.00124037,0.00124037,0.00124037
6,208.75,0.24411,0.90044,1,0.3219,0.00119322,0.00119322,0.00119322
7,291.025,0.20982,0.93805,1,0.25406,0.00114606,0.00114606,0.00114606
8,325.639,0.19548,0.92478,1,0.3023,0.0010989,0.0010989,0.0010989
9,364.319,0.136,0.94469,1,0.21699,0.00105174,0.00105174,0.00105174
10,398.513,0.15323,0.95133,1,0.16606,0.00100459,0.00100459,0.00100459
11,432.797,0.14741,0.94248,1,0.16751,0.00095743,0.00095743,0.00095743
12,466.455,0.12182,0.95796,1,0.13409,0.000910273,0.000910273,0.000910273
13,530.811,0.09174,0.94469,1,0.20607,0.000863116,0.000863116,0.000863116
14,655.858,0.10936,0.94912,1,0.16539,0.000815959,0.000815959,0.000815959
15,690.371,0.09156,0.96018,1,0.14239,0.000768802,0.000768802,0.000768802
16,725.022,0.10093,0.94027,1,0.1545,0.000721645,0.000721645,0.000721645
17,759.02,0.08174,0.94248,1,0.14596,0.000674488,0.000674488,0.000674488
18,792.803,0.07102,0.9469,1,0.15209,0.000627331,0.000627331,0.000627331
19,826.752,0.08288,0.94248,1,0.19203,0.000580174,0.000580174,0.000580174
20,864.017,0.06718,0.95133,1,0.14618,0.000533017,0.000533017,0.000533017
21,901.767,0.05742,0.94912,1,0.16149,0.00048586,0.00048586,0.00048586
22,938.863,0.05445,0.94248,1,0.16658,0.000438703,0.000438703,0.000438703
23,973.764,0.05192,0.94248,1,0.16896,0.000391546,0.000391546,0.000391546
24,1043.8,0.031,0.95133,1,0.26001,0.000344389,0.000344389,0.000344389
25,1131.8,0.04274,0.94912,1,0.16178,0.000297232,0.000297232,0.000297232
26,1201.84,0.04571,0.96018,1,0.16404,0.000250075,0.000250075,0.000250075
27,1290.84,0.03548,0.94027,1,0.17566,0.000202918,0.000202918,0.000202918
28,1324.45,0.04583,0.95354,1,0.16049,0.000155761,0.000155761,0.000155761
29,1357.84,0.04116,0.94912,1,0.16292,0.000108604,0.000108604,0.000108604
30,1391.7,0.03641,0.95354,1,0.15905,6.1447e-05,6.1447e-05,6.1447e-05
