epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.50604,1.12881,0.71429,1,1.03211,0.000408286,0.000408286,0.000408286
2,5.13071,1.04188,0.42857,1,0.9962,0.000862725,0.000862725,0.000862725
3,6.83882,0.98946,0.42857,1,0.9962,0.00129359,0.00129359,0.00129359
4,8.60851,0.91925,0.42857,1,0.99079,0.0013229,0.0013229,0.0013229
5,10.4979,0.81652,0.42857,1,0.99079,0.00128753,0.00128753,0.00128753
6,12.3485,0.8474,0.42857,1,0.97349,0.00125216,0.00125216,0.00125216
7,14.2022,0.6787,0.42857,1,0.97349,0.00121679,0.00121679,0.00121679
8,25.0046,0.71775,0.57143,1,0.89876,0.00118143,0.00118143,0.00118143
9,29.2821,0.65324,0.57143,1,0.89876,0.00114606,0.00114606,0.00114606
10,31.0324,0.58177,0.57143,1,0.85137,0.00111069,0.00111069,0.00111069
11,32.7811,0.49614,0.57143,1,0.85137,0.00107532,0.00107532,0.00107532
12,34.4854,0.47097,0.57143,1,0.85137,0.00103995,0.00103995,0.00103995
13,36.2377,0.39788,0.57143,1,0.80085,0.00100459,0.00100459,0.00100459
14,37.8883,0.49142,0.57143,1,0.80086,0.000969219,0.000969219,0.000969219
15,39.6178,0.54586,0.57143,1,0.79912,0.000933851,0.000933851,0.000933851
16,41.3705,0.43562,0.57143,1,0.79912,0.000898484,0.000898484,0.000898484
17,43.069,0.34524,0.57143,1,0.84697,0.000863116,0.000863116,0.000863116
18,44.8171,0.39618,0.57143,1,0.84697,0.000827748,0.000827748,0.000827748
19,46.5227,0.4417,0.71429,1,0.77741,0.00079238,0.00079238,0.00079238
20,48.3615,0.31402,0.71429,1,0.77741,0.000757013,0.000757013,0.000757013
21,50.1844,0.46953,0.71429,1,0.84387,0.000721645,0.000721645,0.000721645
22,51.889,0.46749,0.71429,1,0.84387,0.000686277,0.000686277,0.000686277
23,53.8097,0.22534,0.57143,1,0.85048,0.000650909,0.000650909,0.000650909
24,55.7003,0.29198,0.57143,1,0.85048,0.000615542,0.000615542,0.000615542
25,57.3596,0.24336,0.57143,1,0.83475,0.000580174,0.000580174,0.000580174
26,59.032,0.20253,0.57143,1,0.83475,0.000544806,0.000544806,0.000544806
27,60.7334,0.43314,0.57143,1,0.83475,0.000509438,0.000509438,0.000509438
28,62.6579,0.4065,0.57143,1,0.88557,0.000474071,0.000474071,0.000474071
29,64.3591,0.32118,0.57143,1,0.88557,0.000438703,0.000438703,0.000438703
30,66.0662,0.31348,0.71429,1,0.80597,0.000403335,0.000403335,0.000403335
31,67.8768,0.16748,0.71429,1,0.80597,0.000367967,0.000367967,0.000367967
32,69.6555,0.28452,0.57143,1,0.83269,0.0003326,0.0003326,0.0003326
33,71.3789,0.36052,0.57143,1,0.83269,0.000297232,0.000297232,0.000297232
34,73.1833,0.18991,0.57143,1,0.8345,0.000261864,0.000261864,0.000261864
35,74.9454,0.16813,0.57143,1,0.8345,0.000226497,0.000226497,0.000226497
36,77.0558,0.13252,0.57143,1,0.81081,0.000191129,0.000191129,0.000191129
37,78.8894,0.27912,0.57143,1,0.81081,0.000155761,0.000155761,0.000155761
38,80.6657,0.22986,0.42857,1,0.82912,0.000120393,0.000120393,0.000120393
39,82.4944,0.251,0.42857,1,0.82912,8.50255e-05,8.50255e-05,8.50255e-05
40,84.2515,0.17327,0.57143,1,0.81533,4.96578e-05,4.96578e-05,4.96578e-05
